Product Name
Agas 25gms
Agas 250gms
Agas 500gms
Agil 250ml
Agil 500ml
Atranex 500gms
Atranex 1kg
Barazide 250ml
Barazide 500ml
Barazide 1 Lt
Boregan 4g 5kg
Carbomain  1kg 1kg
Carbomain 5kg 5kg
Custodia 250ml
Custodia 500ml
Custodia 1 Lt
Doxagan 100ml
Doxagan 200ml
Galigan 100ml
Horch 700ml
Horch 1.4lt
Lapidos 4kg 4kg
Padiwix 600ml
Paranex 500ml
Paranex 1 Lt
Plithora 350ml
Plithora 500ml
Plithora 1 Lt
Takaf 250ml
Takaf 500ml
Takaf 1 Lt
Tapuz 250gms
Tapuz 500gms
Tapuz 1kg
Trassid 300ml
Trassid 500ml
Trassid 1 Lt
Upturn 1 Lt
Uxmal 500ml
Uxmal 1 Lt
Weed Block 250ml
Weed Block 500ml
